BSSID,Epoch,Temperature
EC:DA:3B:0F:5C:AC,1681683755,20.5306
master,1681683755,20.2646
48:27:E2:AD:85:D0,1681683756,20.1421
48:27:E2:AD:91:38,1681683756,17.5634
EC:DA:3B:0F:5C:AC,1681683756,20.3903
master,1681683756,20.9415
48:27:E2:AD:85:D0,1681683757,20.1421
48:27:E2:AD:91:38,1681683757,17.0476
EC:DA:3B:0F:5C:AC,1681683757,20.4604
master,1681683757,20.2646
48:27:E2:AD:85:D0,1681683758,20.1421
48:27:E2:AD:91:38,1681683758,17.5634
EC:DA:3B:0F:5C:AC,1681683758,20.2501
master,1681683758,20.1969
48:27:E2:AD:85:D0,1681683759,20.0736
48:27:E2:AD:91:38,1681683759,17.0476
EC:DA:3B:0F:5C:AC,1681683759,20.3903
master,1681683759,20.1292
48:27:E2:AD:85:D0,1681683760,20.6901
48:27:E2:AD:91:38,1681683760,17.0476
EC:DA:3B:0F:5C:AC,1681683760,20.3903
master,1681683760,20.1292
48:27:E2:AD:85:D0,1681683761,20.6901
48:27:E2:AD:91:38,1681683761,17.6923
EC:DA:3B:0F:5C:AC,1681683761,20.5306
master,1681683761,20.1969
48:27:E2:AD:85:D0,1681683762,20.1421
48:27:E2:AD:91:38,1681683762,17.4989
EC:DA:3B:0F:5C:AC,1681683762,20.3903
master,1681683762,20.1969
48:27:E2:AD:85:D0,1681683763,20.0736
48:27:E2:AD:91:38,1681683763,16.9832
EC:DA:3B:0F:5C:AC,1681683763,20.6007
master,1681683763,20.1969
48:27:E2:AD:85:D0,1681683764,20.0736
48:27:E2:AD:91:38,1681683764,17.0476
EC:DA:3B:0F:5C:AC,1681683764,20.4604
master,1681683764,20.2646
48:27:E2:AD:85:D0,1681683765,20.1421
48:27:E2:AD:91:38,1681683765,17.6923
EC:DA:3B:0F:5C:AC,1681683765,20.3202
master,1681683765,20.0615
48:27:E2:AD:85:D0,1681683766,20.0736
48:27:E2:AD:91:38,1681683766,17.5634
EC:DA:3B:0F:5C:AC,1681683766,20.5306
master,1681683766,20.1969
48:27:E2:AD:85:D0,1681683767,20.1421
48:27:E2:AD:91:38,1681683767,17.6923
EC:DA:3B:0F:5C:AC,1681683767,20.4604
master,1681683767,20.1969
48:27:E2:AD:85:D0,1681683768,20.0736
48:27:E2:AD:91:38,1681683768,17.0476
EC:DA:3B:0F:5C:AC,1681683768,20.3903
master,1681683768,20.4000
48:27:E2:AD:85:D0,1681683769,20.0736
48:27:E2:AD:91:38,1681683769,17.6278
EC:DA:3B:0F:5C:AC,1681683769,20.3903
master,1681683769,20.2646
48:27:E2:AD:85:D0,1681683770,20.6901
48:27:E2:AD:91:38,1681683770,17.6923
EC:DA:3B:0F:5C:AC,1681683770,20.4604
master,1681683770,20.1292
48:27:E2:AD:85:D0,1681683771,20.1421
48:27:E2:AD:91:38,1681683771,16.9832
EC:DA:3B:0F:5C:AC,1681683771,20.3903
master,1681683771,20.1292
48:27:E2:AD:85:D0,1681683772,20.8271
48:27:E2:AD:91:38,1681683772,17.0476
EC:DA:3B:0F:5C:AC,1681683772,20.3903
master,1681683772,20.9415
48:27:E2:AD:85:D0,1681683773,20.0736
48:27:E2:AD:91:38,1681683773,17.6278
EC:DA:3B:0F:5C:AC,1681683773,20.3202
master,1681683773,19.9938
48:27:E2:AD:85:D0,1681683774,20.1421
48:27:E2:AD:91:38,1681683774,17.0476
EC:DA:3B:0F:5C:AC,1681683774,20.2501
master,1681683774,19.3169
48:27:E2:AD:85:D0,1681683775,20.0736
48:27:E2:AD:91:38,1681683775,17.6278
EC:DA:3B:0F:5C:AC,1681683775,20.3202
master,1681683775,20.1969
48:27:E2:AD:85:D0,1681683776,20.7586
48:27:E2:AD:91:38,1681683776,17.5634
EC:DA:3B:0F:5C:AC,1681683776,20.3903
master,1681683776,20.1292
